boat	bateau
million	million
bag	sac
impossible	impossible
second	seconde
stupid	bête
to	découvrir
error	erreur
sun	soleil
trip	voyage
to	sauter
to	rêver
to	détester
clear	clair
wrong	faux
to	paraître
ball	balle
to	empêcher
to	maintenir
a	cheveu
paper	papier
a	présent
subject	sujet
to	supposer
quiet	tranquille
nine;	neuf
to	épouser
white;	blanc
table;	table
everything	toute
ten	dix
key;	clé
officer	agent
to	approcher
direction	sens
to	craindre
six	six
message	message
to	crier
room	salle
to	inviter
effect	effet
to	réfléchir
species	espèce
to	arranger
to	naître
Hello!	allô
wood;	bois
subject	propos
camp	camp
sort	sorte
hotel;	hôtel
beginning	début
to	souffrir
leg	jambe
to	remercier
choice	choix
safety	sécurité
lawyer	avocat
to	attraper
customer	client
current	courant
to	dépêcher
people	peuple
lady	dame
to	vérifier
to	abandonner
newspaper	journal
genuine	sérieux
to	brûler
gold	or
law	loi
bottom	fond
kid	gosse
doug	fric
situation;	situation
Er…	euh
except	sauf
accident	accident
doubt	doute
scene	scène
soldier	soldat
loving	amoureux
to	assurer
proof	preuve
human	humain
sea	mer
silence	silence
TV	télé
victim	victime
completely	complètement
whore	pute
guard;	garde
murder	meurtre
group	groupe
crime	crime
to	traiter
gently	doucement
to	blesser
colonel	colonel
